Product Name,Price
Dahua 16GB USB Flash Drive-USB,R49.00 R57.00
Dahua 32GB USB Flash Drive-USB,R67.00
Dahua 64GB USB Flash Drive-USB,R69.00
Dahua 8GB USB Flash Drive-USB,R45.00
Kingston 128GB DataTraveler Exodia USB 3.2,R189.00
KINGSTON 128GB USB 3.0,R279.00
Kingston DTX/64GB DataTraveler Exodia USB 3.2 Flash Drive,R129.00
SanDisk Cruzer Blade 16GB USB Flash Drive – Electric Blue,R60.00
SanDisk Cruzer Glide 3.0 256GB USB 3.2 Gen 1 Type-A Black USB Flash Drive,R499.00
SanDisk SDCZ33-016G-G35 16GB CRUZER FIT USB 2.0 Black and Silver Flash Drive,R65.00
SanDisk SDCZ33-032G-G35 32GB USB 2.0 Black and Silver Flash Drive,R68.00
SanDisk SDCZ430-064G-G46 Ultra Fit 64GB USB 3.1 Black Flash Drive,R139.00
